Maximum at t = 136.28, mx = 0.60
Maximum at t = 136.49, mx = 0.61
Maximum at t = 137.72, mx = 0.78
Maximum at t = 138.94, mx = 0.91
Maximum at t = 140.17, mx = 0.98
Maximum at t = 141.40, mx = 1.00
Maximum at t = 142.57, mx = 0.98
Maximum at t = 143.80, mx = 0.92
Maximum at t = 145.02, mx = 0.80
Maximum at t = 146.25, mx = 0.64
Maximum at t = 146.46, mx = 0.64
Maximum at t = 147.85, mx = 0.57
Maximum at t = 148.65, mx = 0.52
Maximum at t = 149.24, mx = 0.66
Maximum at t = 149.82, mx = 0.63
Maximum at t = 150.52, mx = 0.80
Maximum at t = 151.10, mx = 0.79
Maximum at t = 151.74, mx = 0.92
Maximum at t = 152.38, mx = 0.91
Maximum at t = 152.97, mx = 0.97
Maximum at t = 153.66, mx = 0.97
Maximum at t = 154.25, mx = 1.00
Maximum at t = 154.89, mx = 0.99
Maximum at t = 155.48, mx = 1.00
Maximum at t = 156.17, mx = 1.00
Maximum at t = 156.76, mx = 0.99
Maximum at t = 157.40, mx = 0.99
Maximum at t = 157.98, mx = 0.96
Maximum at t = 158.62, mx = 0.96
Maximum at t = 159.26, mx = 0.89
Maximum at t = 159.90, mx = 0.90
Maximum at t = 160.54, mx = 0.77
Maximum at t = 161.13, mx = 0.79
Maximum at t = 161.77, mx = 0.63
Maximum at t = 162.46, mx = 0.65
Maximum at t = 163.00, mx = 0.54
Maximum at t = 163.80, mx = 0.60
Maximum at t = 164.17, mx = 0.56
Maximum at t = 165.18, mx = 0.68
Maximum at t = 165.40, mx = 0.68
Maximum at t = 166.62, mx = 0.82
Maximum at t = 167.85, mx = 0.92
Maximum at t = 168.97, mx = 0.98
Maximum at t = 170.20, mx = 1.00
Maximum at t = 170.36, mx = 1.00
Maximum at t = 171.42, mx = 1.00
Maximum at t = 171.64, mx = 1.00
Maximum at t = 172.86, mx = 0.98
Maximum at t = 173.98, mx = 0.93
Maximum at t = 175.21, mx = 0.83
Maximum at t = 176.44, mx = 0.70
Maximum at t = 176.65, mx = 0.70
Maximum at t = 177.99, mx = 0.62
Maximum at t = 178.84, mx = 0.56
Maximum at t = 179.37, mx = 0.67
Maximum at t = 180.01, mx = 0.64
Maximum at t = 180.65, mx = 0.78
Maximum at t = 181.29, mx = 0.77
Maximum at t = 181.88, mx = 0.89
Maximum at t = 182.52, mx = 0.88
Maximum at t = 183.16, mx = 0.95
Maximum at t = 183.80, mx = 0.94
Maximum at t = 184.39, mx = 0.98
Maximum at t = 185.08, mx = 0.97
Maximum at t = 185.61, mx = 0.99
Maximum at t = 186.36, mx = 0.99
Maximum at t = 186.84, mx = 1.00
Maximum at t = 187.64, mx = 0.99
Maximum at t = 188.12, mx = 1.00
Maximum at t = 188.87, mx = 1.00
Maximum at t = 189.35, mx = 1.00
Maximum at t = 190.15, mx = 1.00
Maximum at t = 190.63, mx = 1.00
Maximum at t = 191.43, mx = 1.00
Maximum at t = 191.85, mx = 0.99
Maximum at t = 192.65, mx = 1.00
Maximum at t = 193.13, mx = 0.99
Maximum at t = 193.88, mx = 0.99
Maximum at t = 194.41, mx = 0.97
Maximum at t = 195.16, mx = 0.98
Maximum at t = 195.69, mx = 0.94
Maximum at t = 196.39, mx = 0.95
Maximum at t = 196.97, mx = 0.89
Maximum at t = 197.61, mx = 0.90
Maximum at t = 198.25, mx = 0.79
Maximum at t = 198.84, mx = 0.80
Maximum at t = 199.48, mx = 0.66
Maximum at t = 200.12, mx = 0.69
Maximum at t = 200.71, mx = 0.59
Maximum at t = 201.45, mx = 0.64
Maximum at t = 201.88, mx = 0.60
Maximum at t = 202.84, mx = 0.70
Maximum at t = 203.11, mx = 0.69
Maximum at t = 204.17, mx = 0.81
Maximum at t = 204.33, mx = 0.81
Maximum at t = 205.40, mx = 0.91
Maximum at t = 205.56, mx = 0.90
Maximum at t = 206.63, mx = 0.96
Maximum at t = 206.84, mx = 0.96
Maximum at t = 207.85, mx = 0.99
Maximum at t = 208.12, mx = 0.98
Maximum at t = 209.08, mx = 1.00
Maximum at t = 209.40, mx = 0.99
Maximum at t = 210.31, mx = 1.00
Maximum at t = 210.63, mx = 1.00
Maximum at t = 211.59, mx = 1.00
Maximum at t = 211.91, mx = 1.00
Maximum at t = 212.87, mx = 0.99
Maximum at t = 213.13, mx = 0.99
Maximum at t = 214.15, mx = 0.97
Maximum at t = 214.36, mx = 0.97
Maximum at t = 215.59, mx = 0.93
Maximum at t = 216.81, mx = 0.86
Maximum at t = 218.09, mx = 0.75
Maximum at t = 219.48, mx = 0.67
Maximum at t = 220.81, mx = 0.68
Maximum at t = 221.51, mx = 0.64
Maximum at t = 222.09, mx = 0.76
Maximum at t = 222.73, mx = 0.74
Maximum at t = 223.37, mx = 0.86
Maximum at t = 224.01, mx = 0.84
Maximum at t = 224.60, mx = 0.93
Maximum at t = 225.30, mx = 0.91
Maximum at t = 225.83, mx = 0.96
Maximum at t = 226.58, mx = 0.95
Maximum at t = 227.06, mx = 0.98
Maximum at t = 227.86, mx = 0.96
Maximum at t = 228.28, mx = 0.98
Maximum at t = 229.14, mx = 0.97
Maximum at t = 229.56, mx = 0.98
Maximum at t = 230.42, mx = 0.97
Maximum at t = 230.79, mx = 0.98
Maximum at t = 231.70, mx = 0.95
Maximum at t = 232.02, mx = 0.96
Maximum at t = 233.24, mx = 0.93
Maximum at t = 234.47, mx = 0.87
Maximum at t = 235.75, mx = 0.79
Maximum at t = 237.03, mx = 0.72
Maximum at t = 238.36, mx = 0.71
Maximum at t = 239.16, mx = 0.66
Maximum at t = 239.64, mx = 0.76
Maximum at t = 240.39, mx = 0.73
Maximum at t = 240.92, mx = 0.84
Maximum at t = 241.62, mx = 0.81
Maximum at t = 242.20, mx = 0.90
Maximum at t = 242.90, mx = 0.88
Maximum at t = 243.43, mx = 0.94
Maximum at t = 244.18, mx = 0.92
Maximum at t = 244.66, mx = 0.95
Maximum at t = 245.46, mx = 0.93
Maximum at t = 245.88, mx = 0.96
Maximum at t = 246.74, mx = 0.93
Maximum at t = 247.11, mx = 0.95
Maximum at t = 248.02, mx = 0.92
Maximum at t = 248.34, mx = 0.94
Maximum at t = 249.56, mx = 0.90
Maximum at t = 250.84, mx = 0.85
Maximum at t = 252.12, mx = 0.78
Maximum at t = 253.40, mx = 0.74
Maximum at t = 254.68, mx = 0.75
Maximum at t = 255.48, mx = 0.70
Maximum at t = 256.02, mx = 0.79
Maximum at t = 256.71, mx = 0.76
Maximum at t = 257.24, mx = 0.85
Maximum at t = 257.99, mx = 0.83
Maximum at t = 258.52, mx = 0.90
Maximum at t = 259.27, mx = 0.88
Maximum at t = 259.75, mx = 0.93
Maximum at t = 260.55, mx = 0.90
Maximum at t = 260.98, mx = 0.94
Maximum at t = 261.83, mx = 0.91
Maximum at t = 262.20, mx = 0.94
Maximum at t = 263.11, mx = 0.90
Maximum at t = 263.43, mx = 0.92
Maximum at t = 264.66, mx = 0.89
Maximum at t = 265.94, mx = 0.85
Maximum at t = 267.22, mx = 0.80
Maximum at t = 268.50, mx = 0.77
Maximum at t = 269.78, mx = 0.77
Maximum at t = 270.58, mx = 0.72
Maximum at t = 271.06, mx = 0.80
Maximum at t = 271.80, mx = 0.77
Maximum at t = 272.34, mx = 0.85
Maximum at t = 273.08, mx = 0.82
Maximum at t = 273.56, mx = 0.89
Maximum at t = 274.31, mx = 0.86
Maximum at t = 274.79, mx = 0.91
Maximum at t = 275.59, mx = 0.88
Maximum at t = 276.07, mx = 0.92
Maximum at t = 276.87, mx = 0.89
Maximum at t = 277.30, mx = 0.92
Maximum at t = 278.15, mx = 0.88
Maximum at t = 278.53, mx = 0.90
Maximum at t = 279.75, mx = 0.88
Maximum at t = 281.03, mx = 0.84
Maximum at t = 282.31, mx = 0.80
Maximum at t = 283.59, mx = 0.78
Maximum at t = 284.87, mx = 0.79
Maximum at t = 285.67, mx = 0.74
Maximum at t = 286.15, mx = 0.82
Maximum at t = 286.90, mx = 0.78
Maximum at t = 287.38, mx = 0.85
Maximum at t = 288.18, mx = 0.82
Maximum at t = 288.66, mx = 0.88
Maximum at t = 289.41, mx = 0.85
Maximum at t = 289.89, mx = 0.90
Maximum at t = 290.69, mx = 0.87
Maximum at t = 291.11, mx = 0.91
Maximum at t = 291.97, mx = 0.87
Maximum at t = 292.34, mx = 0.90
Maximum at t = 293.25, mx = 0.86
Maximum at t = 293.62, mx = 0.88
Maximum at t = 294.85, mx = 0.86
Maximum at t = 296.13, mx = 0.83
Maximum at t = 297.41, mx = 0.80
Maximum at t = 298.69, mx = 0.79
Maximum at t = 299.49, mx = 0.74
Maximum at t = 299.97, mx = 0.81
Maximum at t = 300.71, mx = 0.77
Maximum at t = 301.19, mx = 0.84
Maximum at t = 301.99, mx = 0.80
Maximum at t = 302.47, mx = 0.86
